bin_left,bin_right,count,accuracy,confidence,model
0.0,0.1,0,,,Fine-tuned DistilBERT
0.1,0.2,0,,,Fine-tuned DistilBERT
0.2,0.30000000000000004,1,0.0,0.28604117035865784,Fine-tuned DistilBERT
0.30000000000000004,0.4,10,0.2,0.3623126447200775,Fine-tuned DistilBERT
0.4,0.5,25,0.44,0.4593338072299957,Fine-tuned DistilBERT
0.5,0.6000000000000001,27,0.4444444444444444,0.5535662770271301,Fine-tuned DistilBERT
0.6000000000000001,0.7000000000000001,37,0.5675675675675675,0.6506010890007019,Fine-tuned DistilBERT
0.7000000000000001,0.8,43,0.6744186046511628,0.7394899129867554,Fine-tuned DistilBERT
0.8,0.9,79,0.6835443037974683,0.8550180196762085,Fine-tuned DistilBERT
0.9,1.0,678,0.93952802359882,0.9605756998062134,Fine-tuned DistilBERT
