bin_left,bin_right,count,accuracy,confidence,model
0.0,0.1,0,,,TF-IDF + LR
0.1,0.2,0,,,TF-IDF + LR
0.2,0.30000000000000004,6,0.3333333333333333,0.2842832176961268,TF-IDF + LR
0.30000000000000004,0.4,46,0.43478260869565216,0.35039499857242834,TF-IDF + LR
0.4,0.5,66,0.6212121212121212,0.44921868131841897,TF-IDF + LR
0.5,0.6000000000000001,83,0.6506024096385542,0.5506257783140867,TF-IDF + LR
0.6000000000000001,0.7000000000000001,99,0.8181818181818182,0.6519798906453369,TF-IDF + LR
0.7000000000000001,0.8,124,0.8709677419354839,0.7525733248631336,TF-IDF + LR
0.8,0.9,200,0.935,0.8535245505219795,TF-IDF + LR
0.9,1.0,276,0.9782608695652174,0.9525222227696044,TF-IDF + LR
